Date,Shares,Ticker,Cost
9/10/08,99.437,VTSMX,3000
9/23/08,0.472,VTSMX,
10/15/08,4.56,VTSMX,100
11/5/08,4.354,VTSMX,100
11/14/08,4.766,VTSMX,100
12/1/08,5.11,VTSMX,100
12/15/08,4.782,VTSMX,100
12/19/08,0.907,VTSMX,
12/29/08,4.785,VTSMX,100
1/12/09,4.755,VTSMX,100
1/26/09,4.941,VTSMX,100
2/9/09,4.737,VTSMX,100
2/26/09,16.402,VTSMX,300
3/11/09,22.818,VTSMX,400
3/24/09,1.229,VTSMX,
6/23/09,0.877,VTSMX,
9/23/09,0.798,VTSMX,
12/21/09,1.133,VTSMX,
2/9/10,37.864,VTSMX,1000
3/24/10,0.83,VTSMX,
4/7/10,122.407,VTSMX,3600
6/23/10,1.592,VTSMX,
9/23/10,1.717,VTSMX,
12/21/10,1.807,VTSMX,
3/8/11,Ð 353.080,VTSMX,
3/8/11,352.974,VTSAX,
3/24/11,1.469,VTSAX,
4/13/11,30.193,VTSAX,1000
6/10/11,3.118,VTSAX,100
6/23/11,1.655,VTSAX,
7/8/11,2.944,VTSAX,100
8/9/11,3.413,VTSAX,100
9/9/11,3.455,VTSAX,100
9/22/11,2.119,VTSAX,
10/7/11,3.486,VTSAX,100
11/9/11,6.515,VTSAX,200
12/5/11,6.349,VTSAX,200
12/20/11,2.366,VTSAX,
12/30/11,31.949,VTSAX,1000
2/9/12,Ð 117.682,VTSAX,
2/9/12,274.537,VGTSX,
3/23/12,1.445,VTSAX,
5/4/12,5.846,VTSAX,200
6/5/12,6.221,VTSAX,200
6/22/12,1.761,VTSAX,
7/5/12,5.857,VTSAX,200
8/3/12,5.792,VTSAX,200
9/5/12,5.696,VTSAX,200
9/21/12,4.544,VGTSX,
9/21/12,1.787,VTSAX,
10/5/12,5.504,VTSAX,200
10/26/12,304.387,VBMFX,3400
10/31/12,0.06,VBMFX,
11/5/12,5.655,VTSAX,200
11/30/12,0.584,VBMFX,
12/5/12,5.659,VTSAX,200
12/19/12,3.69,VGTSX,
12/19/12,2.852,VTSAX,
12/21/12,0.606,VBMFX,
12/21/12,0.936,VBMFX,
12/31/12,0.588,VBMFX,
1/4/13,5.448,VTSAX,200
1/31/13,0.585,VBMFX,
2/5/13,5.273,VTSAX,200
2/28/13,0.548,VBMFX,
3/5/13,5.165,VTSAX,200
3/12/13,Ð 76.726,VTSAX,
3/12/13,69.751,NAESX,
3/19/13,0.01,NAESX,
3/21/13,0.683,VGTSX,
3/21/13,1.494,VTSAX,
3/28/13,0.476,VBMFX,
3/28/13,0.028,VBMFX,
3/28/13,0.592,VBMFX,
4/5/13,5.14,VTSAX,200
5/18/12,58.7042,VIFSX,
5/18/12,156.1693,VEMSX,
5/18/12,211.7837,VTSGX,
5/18/12,79.3129,VBTSX,
5/31/12,0.0764,VBTSX,
6/7/12,0.7951,VIFSX,79.92
6/7/12,2.1872,VEMSX,77.58
6/7/12,2.9838,VTSGX,77.58
6/22/12,0.3127,VIFSX,
6/29/12,0.1783,VBTSX,
7/9/12,0.7757,VIFSX,79.92
7/9/12,2.1019,VEMSX,77.58
7/9/12,2.8894,VTSGX,77.58
7/31/12,0.1755,VTSGX,
8/8/12,0.7472,VIFSX,79.92
8/8/12,2.081,VEMSX,77.58
8/8/12,2.7648,VTSGX,77.58
8/29/12,0.0003,VIFSX,
8/29/12,0.0007,VTSGX,
8/31/12,0.173,VTSGX,
8/31/12,-0.173,VBTSX,
8/31/12,0.0303,VBTSX,
8/31/12,0.1427,VBTSX,
9/7/12,0.7269,VIFSX,79.92
9/7/12,1.9796,VEMSX,77.58
9/7/12,2.6947,VTSGX,77.58
9/21/12,0.3182,VIFSX,
9/21/12,3.7429,VTSGX,
9/28/12,0.1634,VBTSX,
10/3/12,0.723,VIFSX,79.92
10/3/12,1.9918,VEMSX,77.58
10/3/12,2.7041,VTSGX,77.58
10/31/12,0.1671,VBTSX,
11/7/12,0.7507,VIFSX,79.92
11/7/12,2.0357,VEMSX,77.58
11/7/12,2.7212,VTSGX,77.58
11/30/12,0.1609,VBTSX,
12/7/12,0.7364,VIFSX,79.92
12/7/12,1.9867,VEMSX,77.58
12/7/12,2.6272,VTSGX,77.58
12/19/12,3.2145,VTSGX,
12/21/12,2.7613,VEMSX,
12/21/12,0.4637,VIFSX,
12/21/12,0.2464,VBTSX,
12/21/12,0.1598,VBTSX,
12/31/12,0.1615,VBTSX,
1/7/13,0.7183,VIFSX,79.92
1/7/13,1.9075,VEMSX,77.58
1/7/13,2.5469,VTSGX,77.58
1/31/13,0.162,VBTSX,
2/6/13,0.6935,VIFSX,79.92
2/6/13,1.8241,VEMSX,77.58
2/6/13,2.5091,VTSGX,77.58
2/25/13,0.0006,VIFSX,
2/25/13,0.0023,VTSGX,
2/25/13,0.0017,VEMSX,
2/28/13,0.1514,VBTSX,
3/6/13,0.7923,VIFSX,93.31
3/6/13,2.0912,VEMSX,90.57
3/6/13,2.9197,VTSGX,90.57
